slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
gordoer01,Eric Gordon,HOUSTON ROCKETS,AWAY,CHARLOTTE HORNETS,WIN,2126,3,10,0,5,0,0,0,1,2,3,0,0,3,3.7,-8.0
kennalu01,Luke Kennard,DETROIT PISTONS,AWAY,SAN ANTONIO SPURS,LOSS,1899,4,12,0,6,0,0,0,1,3,1,0,1,0,3.6,-16.0
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,AWAY,BOSTON CELTICS,WIN,2248,6,19,1,8,1,2,1,4,3,0,0,2,3,3.5,8.0
saricda01,Dario Šarić,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,1753,1,11,0,6,4,4,1,3,4,2,0,1,2,3.3,7.0
morrima03,Marcus Morris,BOSTON CELTICS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1782,3,10,0,6,2,2,1,6,1,0,0,1,3,3.2,-8.0
haywago01,Gordon Hayward,BOSTON CELTICS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1638,1,3,0,0,1,2,2,2,3,0,0,2,0,3.0,13.0
livinsh01,Shaun Livingston,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,939,0,2,0,0,2,2,0,0,2,1,0,0,0,3.0,-11.0
riverau01,Austin Rivers,HOUSTON ROCKETS,AWAY,CHARLOTTE HORNETS,WIN,1256,2,6,2,5,1,2,0,2,1,0,1,1,3,3.0,15.0
seldewa01,Wayne Selden,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,WIN,1169,1,5,0,2,0,0,0,5,2,4,0,2,2,3.0,0.0
cabocbr01,Bruno Caboclo,MEMPHIS GRIZZLIES,HOME,CHICAGO BULLS,LOSS,1671,3,6,1,3,0,0,1,1,1,1,0,3,2,2.9,5.0
greendr01,Draymond Green,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,1364,2,4,1,2,0,0,0,3,2,1,0,1,6,2.9,5.0
looneke01,Kevon Looney,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,783,0,0,0,0,0,0,2,4,2,1,0,1,3,2.8,-8.0
clarkia01,Ian Clark,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,475,0,2,0,2,2,2,2,0,1,0,0,0,0,2.7,-15.0
siberjo01,Jordan Sibert,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,254,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7,-5.0
davised01,Ed Davis,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,LOSS,583,0,2,0,0,3,4,1,4,1,1,0,1,3,2.6,-5.0
dudleja01,Jared Dudley,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,LOSS,802,2,3,1,2,0,0,0,0,1,0,0,1,2,2.6,9.0
caldwke01,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,441,1,1,0,0,0,0,0,0,1,0,0,0,0,2.4,1.0
finnedo01,Dorian Finney-Smith,DALLAS MAVERICKS,HOME,INDIANA PACERS,WIN,1210,0,4,0,1,2,2,2,5,2,1,0,1,3,2.3,-4.0
lopezro01,Robin Lopez,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,WIN,2379,2,7,0,1,0,0,1,2,1,0,5,2,3,2.2,8.0
oquinky01,Kyle O'Quinn,INDIANA PACERS,AWAY,DALLAS MAVERICKS,LOSS,649,1,1,0,0,0,0,0,3,1,0,0,0,3,2.1,-1.0
princta02,Taurean Prince,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1549,2,9,0,3,1,1,0,3,3,0,0,0,1,2.1,15.0
jacksju01,Justin Jackson,DALLAS MAVERICKS,HOME,INDIANA PACERS,WIN,863,2,4,0,1,0,1,1,1,0,0,0,0,2,1.8,-1.0
mccalta01,Tahjere McCall,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,LOSS,478,2,3,0,1,0,1,0,1,0,0,0,0,2,1.8,15.0
pachuza01,Zaza Pachulia,DETROIT PISTONS,AWAY,SAN ANTONIO SPURS,LOSS,534,0,3,0,0,1,2,2,3,1,0,1,0,1,1.8,4.0
templga01,Garrett Temple,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1194,1,4,0,2,0,0,0,1,2,2,1,1,3,1.8,-11.0
dorsety01,Tyler Dorsey,MEMPHIS GRIZZLIES,HOME,CHICAGO BULLS,LOSS,302,1,2,0,1,0,0,0,2,0,0,0,0,0,1.6,3.0
shumpim01,Iman Shumpert,HOUSTON ROCKETS,AWAY,CHARLOTTE HORNETS,WIN,345,1,3,1,3,0,0,0,1,0,0,0,0,0,1.6,-1.0
breweco01,Corey Brewer,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,LOSS,1194,1,3,0,2,0,1,0,0,3,0,1,0,3,1.5,-5.0
johnswe01,Wesley Johnson,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,WIN,851,1,3,1,3,0,0,0,2,0,0,0,0,1,1.5,-16.0
harrijo01,Joe Harris,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,LOSS,1516,2,7,2,5,0,0,2,1,2,0,0,3,2,1.2,-22.0
thornsi01,Sindarius Thornwell,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,66,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,2.0
holidaa01,Aaron Holiday,INDIANA PACERS,AWAY,DALLAS MAVERICKS,LOSS,183,1,3,1,2,0,0,0,0,0,0,0,0,1,0.9,4.0
bateske01,Keita Bates-Diop,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,254,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7,-7.0
chandty01,Tyson Chandler,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,103,0,0,0,0,1,2,0,0,0,0,0,0,0,0.6,6.0
denglu01,Luol Deng,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,481,0,1,0,1,0,0,1,0,0,1,0,0,1,0.6,-4.0
feliccr01,Cristiano Felício,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,WIN,241,0,3,0,0,0,0,2,2,0,1,0,0,1,0.5,-6.0
kiddgmi01,Michael Kidd-Gilchrist,CHARLOTTE HORNETS,HOME,HOUSTON ROCKETS,LOSS,604,1,3,0,0,0,0,0,1,1,0,0,0,2,0.5,-8.0
sefolth01,Thabo Sefolosha,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,373,0,1,0,1,0,0,0,2,0,1,0,0,1,0.5,8.0
farieke01,Kenneth Faried,HOUSTON ROCKETS,AWAY,CHARLOTTE HORNETS,WIN,496,0,0,0,0,2,2,1,1,0,0,0,1,4,0.4,4.0
wilsodj01,D.J. Wilson,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,413,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,7.0
milescj01,C.J. Miles,MEMPHIS GRIZZLIES,HOME,CHICAGO BULLS,LOSS,837,1,5,0,1,0,0,0,2,1,1,0,1,0,0.2,2.0
bayleje01,Jerryd Bayless,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,860,2,6,0,4,0,0,0,0,1,0,0,0,3,0.1,-8.0
randlch01,Chasson Randle,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,WIN,774,1,4,0,2,0,0,0,0,3,1,0,1,4,0.1,5.0
williro04,Robert Williams,BOSTON CELTICS,HOME,PORTLAND TRAIL BLAZERS,LOSS,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.0
harride01,Devin Harris,DALLAS MAVERICKS,HOME,INDIANA PACERS,WIN,1050,2,7,0,3,1,2,1,1,2,2,0,3,5,-0.1,-7.0
hartjo01,Josh Hart,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,575,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.1,-1.0
hasleud01,Udonis Haslem,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,335,0,1,0,1,0,0,0,2,0,0,0,0,0,-0.1,1.0
mooreet01,E'Twaun Moore,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,433,0,2,0,1,0,0,0,2,1,0,0,0,0,-0.1,-5.0
willike04,Kenrich Williams,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,1467,1,6,0,3,0,0,1,2,0,2,0,0,4,-0.1,4.0
adamsja01,Jaylen Adams,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,329,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4,-8.0
muscami01,Mike Muscala,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,298,0,2,0,2,0,0,0,0,0,0,2,0,1,-0.4,-1.0
okafoja01,Jahlil Okafor,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,205,0,0,0,0,0,0,0,2,0,0,0,0,3,-0.6,-2.0
joneste01,Terrence Jones,HOUSTON ROCKETS,AWAY,CHARLOTTE HORNETS,WIN,78,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7,-8.0
luwawti01,Timothé Luwawu-Cabarrot,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,WIN,463,0,1,0,1,0,0,0,1,1,0,0,1,0,-0.7,4.0
leeda03,Damion Lee,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,113,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8,-8.0
mckinal01,Alfonzo McKinnie,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,213,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8,-5.0
lenal01,Alex Len,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,550,0,2,0,1,1,2,1,0,0,0,0,0,2,-0.9,-7.0
canaais01,Isaiah Canaan,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,367,0,1,0,1,0,0,0,1,0,0,1,1,1,-1.1,4.0
cunnida01,Dante Cunningham,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,319,0,2,0,1,0,0,0,1,0,0,0,0,0,-1.1,-9.0
parketo01,Tony Parker,CHARLOTTE HORNETS,HOME,HOUSTON ROCKETS,LOSS,694,1,4,0,1,1,1,0,0,2,0,0,3,1,-1.4,-22.0
jonesde02,Derrick Jones Jr.,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,1030,1,5,0,1,0,0,3,0,0,0,2,2,5,-1.6,-1.0
korveky01,Kyle Korver,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,705,0,2,0,1,0,0,0,0,0,0,1,1,1,-2.1,-6.0
makerth01,Thon Maker,DETROIT PISTONS,AWAY,SAN ANTONIO SPURS,LOSS,891,0,5,0,0,0,0,0,3,0,0,1,0,1,-2.3,0.0
bertada01,Dāvis Bertāns,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,922,0,2,0,1,0,0,0,4,0,0,0,1,3,-2.4,2.0
wallaty01,Tyrone Wallace,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,344,0,4,0,0,0,0,0,1,0,0,0,0,0,-2.5,1.0
theisda01,Daniel Theis,BOSTON CELTICS,HOME,PORTLAND TRAIL BLAZERS,LOSS,600,0,5,0,2,0,0,0,0,2,0,1,0,3,-2.6,-2.0
waitedi01,Dion Waiters,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,1395,1,6,1,4,2,4,0,3,0,0,0,2,5,-2.7,7.0
monkma01,Malik Monk,CHARLOTTE HORNETS,HOME,HOUSTON ROCKETS,LOSS,327,0,2,0,1,0,0,0,0,0,0,0,1,1,-2.8,-10.0
johnsst04,Stanley Johnson,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,79,0,0,0,0,0,2,0,1,0,0,0,2,1,-2.9,-4.0
curryse01,Seth Curry,PORTLAND TRAIL BLAZERS,AWAY,BOSTON CELTICS,WIN,1202,0,4,0,4,0,0,0,0,0,2,0,2,1,-3.2,-7.0
bazemke01,Kent Bazemore,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,850,0,12,0,2,0,0,2,3,4,0,0,0,2,-4.1,-19.0
hoodro01,Rodney Hood,PORTLAND TRAIL BLAZERS,AWAY,BOSTON CELTICS,WIN,1196,0,5,0,4,0,0,0,1,0,0,0,1,0,-4.2,-7.0
leverca01,Caris LeVert,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,LOSS,1220,0,5,0,3,0,0,0,2,0,0,0,2,3,-6.1,-15.0
